"ＭｙｆｉｒｓｔＷｏｒｄＢｏｏｋ","Ａｎｇｅｌａ Ｗｉｌｋｅｓ／編","本"
"年報","人形浄瑠璃因協会/編集","本"
"冬","五味太郎／作","本"
"Beast","PeterBenchley","本"
"ＭＡＤＯＮＮＡ","Ｍａｒｉｅ Ｃａｈｉｌｌ／著","本"
"Ｂａｍｂｉｅｎｅｓｐａｎｏｌ","Ｗａｌｔ Ｄｉｓｎｅｙ／著","本"
"パリ","Ｒｅｎｚｏ Ｓａｌｖａｄｏｒｉ 著,土居義岳 訳,サルバド−リ，レンツォ","本"
"クローズ","高橋ヒロシ 著","児童書"
"電脳ボーイ","ながいのりあき 著","児童書"
"遺伝資源","遺伝学普及会 編","本"
"リッキー台風","平松　伸二／著","児童書"
"横山大観","横山 大観／〔画〕,茨城県近代美術館／編","本"
"怪物くん","藤子不二雄A 著","児童書"
"運命の逆転","松竹株式会社事業部 編集","本"
"岩波中国語辞典","倉石武四郎著","本"
"Αυριο","増進会出版社 [編]","児童書"
"アイスクリースマス","織田道代言葉,山田勝也絵,平野レミ作曲","児童書"
"レンブラント","Ｊ．ガントナー 著,中村二柄 訳","本"
"蟲類","荒俣宏著","本"
"サイトカイン","笠倉新平編集","本"
"産業廃棄物","高杉晋吾著","本"
"週刊ベースボール","ベースボールマガジン社","デジタル資料"
"純情クレイジーフルーツ","松苗 あけみ/著","本"
"不良","カトリーヌあやこ/著","本"
"花の名前","L.ギィヨ, P.ジバシエ[著]","本"
"女ともだち","一条 ゆかり/著","児童書"
"風します?","小道 迷子/著","本"
"レクチャー","立野 真琴/著","児童書"
"カガカガ","日野十成文,斎藤隆夫絵","児童書"
"ビー・バップ・ハイスクール","きうち かずひろ/著","本"
"小児科","金原出版株式会社","デジタル資料"
"センチメンタル","川原 由美子/著","児童書"
"発がん性","伊東信行, 高橋道人責任編集","本"
"差分法","高橋亮一, 棚町芳弘共著","本"
"追憶","河原井 卓／著","本"
"土木計画学","河上省吾編著","本"
"大串貝塚","常澄村教育委員会(茨城県)／編集","本"
"ジャッジ","細野 不二彦/著","本"
"現代詩手帖","思潮社 [編]","デジタル資料"
"半魚人","楳図 かずお/著","児童書"
"うまれる","越智典子文,大塚高雄写真,吉野雄輔写真,グラハム・ロバートソン写真","児童書"
"チープスリル","くらもち ふさこ/著","児童書"
"新日本文学","新日本文学会 [編]","デジタル資料"
"環境化学","西村雅吉著","本"
"ベイビーブルー","いくえみ 綾/著","児童書"
"こいつら100%伝説","岡田 あーみん/著","児童書"
"魚肉ソーセージ","日本魚肉ソーセージ協会,日本魚肉ソーセージ協会 [編]","デジタル資料"
"コンビネーション","聖 りいざ/著","本"
"ザ・ニューファーマー","安藤義道著","本"
"ウィザード","高橋 由紀/著","児童書"
"自由主義","Gray, John 著","本"
"美女と野獣","ボーモン夫人〔著〕,鈴木　豊／訳","児童書"
"ＣｈｒｉｓｔｍａｓｗｉｔｈＡｎｇｅｌｉｎａ","Ｋａｔｈａｒｉｎｅ Ｈｏｌａｂｉｒｄ／文,Ｈｅｌｅｎ Ｃｒａｉｇ／図","本"
"TANDIA","Bryce Courtenay／著","本"
"やまもと","山本史をつくる会〔編〕","本"
"広辞苑","新村出編","本"
"メアリー・カサット","スーザン・E.マイヤー 著,渡辺真 監訳","児童書"
"スプリンター","小山　ゆう／著","児童書"
"社会問題","アリスダー・ロジャース 著,スティーブ・ウェストン, ジョン・ダウンズ 絵,板倉きみえ 訳","児童書"
"笠間焼","製陶ふくだ／編","本"
"エール","日本アイルランド協会","デジタル資料"
"ペデスツリヤン","関西徒歩会/編","本"
"ひろば","秋田県中央地区社会教育主事協議会／編","本"
"三好達治","中村真一郎／編","本"
"ピタゴラスの定理","槙村さとる／著","児童書"
"フイチンさん","上田としこ 著","児童書"
"新幹線","檀上完爾 作,南正時 写真","児童書"
"とぶ","谷川　俊太郎　作,和田　誠　画","児童書"
"プロ野球選手","江本　孟紀／著","児童書"
"花のあすか組!","高口 里純/著","本"
"定山渓温泉","札幌市教育委員会文化資料室編","本"
"トーキョー・ガーディアン","佐野 真砂輝/著,わたなべ 京/著","本"
"花図鑑","清原 なつの/著","児童書"
"女王蜂","たまい　まきこ／著,横溝　正史／原作","児童書"
"いっぱしマン","高口　里純／著","児童書"
"カメラ","イアン・グレアム 著,畑河内秀樹 訳","児童書"
"機甲警察メタルジャック","川崎ヒロユキ 著","児童書"
"スーパーくいしん坊","牛　次郎／作,ビック　錠／画","児童書"
"Alexandrite","成田 美名子/著","児童書"
"ＤｅａｄＳｋｉｐ","Ｊｏｅ Ｇｏｒｅｓ","本"
"Voice","西村 しのぶ/著","児童書"
"タイ","井上隆一郎著","本"
"大雪","ゼリーナ・ヘンツ 文,アロワ・カリジェ 絵,生野幸吉 訳","児童書"
"翠","首里高等学校文芸部 ［編］","本"
"シマウマ","ナディヌ・ソーニエ ぶん,マルセル・ジュネステ え,豊水順子 やく","児童書"
"系図","北畠康次／著","本"
"宇宙海賊キャプテンハーロック","松本　零士／著","児童書"
"恋人たち","奥 舜/撮影,井上 香織/詩","本"
"平家物語","吉村昭 著","児童書"
"フィリピン","浅野幸穂著","本"
"ナーシサス・ブラック","内田 一奈/著","本"
"おれは男だ!くにおくん","穴久保幸作 著","児童書"
"カレンダー","ひこ・田中 作","児童書"
"クリスマス・ファンタジー","風間賢二 編","児童書"
"スーパーワールドバードウオッチング","かのうちたくや 写真・文","児童書"
"木星","シーモア・シーメン 著,村山定男 監訳","児童書"
"夫婦","川井健 [ほか] 編集","本"
"赤胴鈴之助","武内 つなよし/著","本"
"ＢＥＡＳＴ","ＰＥＴＥＲ ＢＥＮＣＨＬＥＹ／著","本"
"月光仮面","桑田次郎 え,川内康範 原作","児童書"
"かわたろう","沼野正子作","児童書"
"フェイク","槙村さとる 著","児童書"
"白堊","茨城県立日立第一高等学校同窓会／編","本"
"星から来た船","新井素子 著","児童書"
"発達心理学","岩田純一 [ほか] 著","本"
"活性炭","真田雄三, 鈴木基之, 藤元薫編","本"
"生滅","岩瀬 秀一","本"
"絹谷幸二","絹谷幸二 著","本"
"ギャラリーフェイク","細野不二彦 著","本"
"ベン・シャーン","ベン・シャーン [画]","本"
"花嫁のパパ","松竹株式会社事業部 編集","本"
"セイント","赤石 路代/著","本"
"ろくでなしBLUES","森田 まさのり/著","児童書"
"ドイツの政治","大西健夫編","本"
"プテラノドン","川口　久彦／編","本"
"東山魁夷","田中穣 著","本"
"盟三五大切","国立劇場調査養成部芸能調査室 編集","本"
"飛翔","茨城県バレーボール協会／編","本"
"変","奥 浩哉/著","本"
"津軽海峡冬景色","東城 和実/著","児童書"
"熱分析","神戸博太郎, 小澤丈夫編","本"
"せんせい","大場牧夫文,長新太絵","児童書"
"赤ちゃんと僕","羅川 真里茂/著","児童書"
"木村謙次","杉田 雨人(1876～1951)／著","本"
"心の旅","吉延豊丘 [作]","本"
"八犬伝","碧也 ぴんく/著","児童書"
"花男","松本大洋 著","本"
"さくら子すみれ子","わたなべ まさこ/著","本"
"あすなろ白書","柴門ふみ 著","本"
"マウンテンバイクテクニカルブック","宮下永次 著","本"
"Magritte","SuziGablik","本"
"っポイ!","やまざき 貴子/著","児童書"
"日本政治史","升味 準之輔／著,李 慶憙／訳","本"
"あした","なるいしていこ 画と文","本"
